nome,email,telefone,cidade
Camila Souza,camila.souza.1@email.com,11947945747,Belo Horizonte
Maria Oliveira,maria.oliveira.2@email.com,21981199480,São Paulo
Ana Rodrigues,ana.rodrigues.3@email.com,41943961993,Curitiba
Julia Souza,julia.souza.4@email.com,41999725303,Rio de Janeiro
Julia Silva,julia.silva.5@email.com,31928655666,Belo Horizonte
Fernanda Almeida,fernanda.almeida.6@email.com,41988060758,São Paulo
Maria Rodrigues,maria.rodrigues.7@email.com,31949182771,São Paulo
Fernanda Oliveira,fernanda.oliveira.8@email.com,21988931299,Belo Horizonte
Carlos Nascimento,carlos.nascimento.9@email.com,41923551446,São Paulo
João Pereira,joão.pereira.10@email.com,21992735019,Curitiba
Julia Santos,julia.santos.11@email.com,21952752929,Curitiba
Julia Santos,julia.santos.12@email.com,31949833714,Porto Alegre
Fernanda Rodrigues,fernanda.rodrigues.13@email.com,51993301791,Rio de Janeiro
Camila Nascimento,camila.nascimento.14@email.com,51919471364,Curitiba
Lucas Santos,lucas.santos.15@email.com,11944969396,Porto Alegre
João Souza,joão.souza.16@email.com,31914528588,Belo Horizonte
Maria Almeida,maria.almeida.17@email.com,21922437018,Porto Alegre
Ana Pereira,ana.pereira.18@email.com,31935973748,São Paulo
Julia Nascimento,julia.nascimento.19@email.com,31974439875,Porto Alegre
Ana Almeida,ana.almeida.20@email.com,11921773928,São Paulo
Rafael Pereira,rafael.pereira.21@email.com,31937391945,Curitiba
Lucas Souza,lucas.souza.22@email.com,21993355502,Curitiba
João Nascimento,joão.nascimento.23@email.com,41992232246,Curitiba
Ana Oliveira,ana.oliveira.24@email.com,11941992415,São Paulo
João Souza,joão.souza.25@email.com,41975136270,Porto Alegre
Pedro Souza,pedro.souza.26@email.com,41960980351,Porto Alegre
Julia Almeida,julia.almeida.27@email.com,21957402685,Curitiba
Rafael Santos,rafael.santos.28@email.com,51953110864,Curitiba
Pedro Silva,pedro.silva.29@email.com,51957492168,Porto Alegre
Pedro Pereira,pedro.pereira.30@email.com,41990531218,Porto Alegre
João Santos,joão.santos.31@email.com,31930193390,São Paulo
João Santos,joão.santos.32@email.com,31948054799,São Paulo
Ana Almeida,ana.almeida.33@email.com,21950784441,Rio de Janeiro
Maria Oliveira,maria.oliveira.34@email.com,51977783023,Belo Horizonte
Camila Almeida,camila.almeida.35@email.com,51936621786,São Paulo
Carlos Costa,carlos.costa.36@email.com,51968500939,Belo Horizonte
Rafael Silva,rafael.silva.37@email.com,11949536419,São Paulo
João Costa,joão.costa.38@email.com,51974099880,Belo Horizonte
Fernanda Pereira,fernanda.pereira.39@email.com,21922893176,Belo Horizonte
Pedro Oliveira,pedro.oliveira.40@email.com,21979943575,Rio de Janeiro
Ana Souza,ana.souza.41@email.com,31978639611,Rio de Janeiro
Lucas Pereira,lucas.pereira.42@email.com,11977779672,Rio de Janeiro
Lucas Lima,lucas.lima.43@email.com,11962396994,Curitiba
Julia Almeida,julia.almeida.44@email.com,51977015290,Curitiba
Lucas Santos,lucas.santos.45@email.com,11992751142,Belo Horizonte
Fernanda Oliveira,fernanda.oliveira.46@email.com,31997876875,São Paulo
Fernanda Santos,fernanda.santos.47@email.com,51919673762,Belo Horizonte
Ana Almeida,ana.almeida.48@email.com,51938946078,São Paulo
Julia Rodrigues,julia.rodrigues.49@email.com,51974153134,Rio de Janeiro
João Santos,joão.santos.50@email.com,11911519776,Rio de Janeiro
Julia Nascimento,julia.nascimento.51@email.com,21944834202,Belo Horizonte
Camila Silva,camila.silva.52@email.com,41966735354,Porto Alegre
Lucas Rodrigues,lucas.rodrigues.53@email.com,41986976834,Rio de Janeiro
Carlos Almeida,carlos.almeida.54@email.com,31940085049,Belo Horizonte
Rafael Oliveira,rafael.oliveira.55@email.com,51922226732,Belo Horizonte
Maria Souza,maria.souza.56@email.com,11991900943,Curitiba
Camila Nascimento,camila.nascimento.57@email.com,31985263601,Curitiba
Rafael Souza,rafael.souza.58@email.com,41978125164,Belo Horizonte
Camila Lima,camila.lima.59@email.com,21925062738,Belo Horizonte
Ana Lima,ana.lima.60@email.com,51953235955,São Paulo
Lucas Santos,lucas.santos.61@email.com,11995166159,Curitiba
Ana Rodrigues,ana.rodrigues.62@email.com,31914568998,Rio de Janeiro
Pedro Lima,pedro.lima.63@email.com,51957218925,Rio de Janeiro
Julia Santos,julia.santos.64@email.com,11998693713,Porto Alegre
Maria Lima,maria.lima.65@email.com,31952132937,Porto Alegre
Carlos Nascimento,carlos.nascimento.66@email.com,51982496138,Belo Horizonte
Ana Pereira,ana.pereira.67@email.com,21996641353,Belo Horizonte
Lucas Nascimento,lucas.nascimento.68@email.com,11980781819,Porto Alegre
Carlos Nascimento,carlos.nascimento.69@email.com,21989459638,Rio de Janeiro
Maria Souza,maria.souza.70@email.com,41938578400,Porto Alegre
Fernanda Silva,fernanda.silva.71@email.com,41952653507,Curitiba
Maria Costa,maria.costa.72@email.com,11969865868,Porto Alegre
Julia Costa,julia.costa.73@email.com,21921936325,Rio de Janeiro
Lucas Pereira,lucas.pereira.74@email.com,11910270370,Belo Horizonte
Pedro Almeida,pedro.almeida.75@email.com,21930054454,Curitiba
Pedro Souza,pedro.souza.76@email.com,21934310810,Rio de Janeiro
Fernanda Oliveira,fernanda.oliveira.77@email.com,41989939814,Porto Alegre
Maria Santos,maria.santos.78@email.com,11917047474,Curitiba
Rafael Oliveira,rafael.oliveira.79@email.com,11972139992,São Paulo
Julia Rodrigues,julia.rodrigues.80@email.com,21959902301,Belo Horizonte
Fernanda Silva,fernanda.silva.81@email.com,11986242563,Curitiba
Julia Oliveira,julia.oliveira.82@email.com,41952281734,Rio de Janeiro
Maria Pereira,maria.pereira.83@email.com,11972551558,Rio de Janeiro
Camila Silva,camila.silva.84@email.com,11977824832,Belo Horizonte
Maria Silva,maria.silva.85@email.com,41993619804,Rio de Janeiro
Carlos Costa,carlos.costa.86@email.com,41950004620,Porto Alegre
Pedro Silva,pedro.silva.87@email.com,41957358780,Belo Horizonte
Pedro Souza,pedro.souza.88@email.com,51982743545,Porto Alegre
Ana Santos,ana.santos.89@email.com,31916399011,Curitiba
Pedro Nascimento,pedro.nascimento.90@email.com,21978826340,Curitiba
Pedro Oliveira,pedro.oliveira.91@email.com,31964857770,Porto Alegre
Carlos Nascimento,carlos.nascimento.92@email.com,11987761088,Rio de Janeiro
Carlos Souza,carlos.souza.93@email.com,11959371750,Belo Horizonte
Carlos Santos,carlos.santos.94@email.com,51992413886,Curitiba
Pedro Almeida,pedro.almeida.95@email.com,21992772234,Belo Horizonte
Rafael Oliveira,rafael.oliveira.96@email.com,31955089202,São Paulo
Pedro Souza,pedro.souza.97@email.com,21991559573,Curitiba
Fernanda Silva,fernanda.silva.98@email.com,11995004608,Rio de Janeiro
Carlos Silva,carlos.silva.99@email.com,11936303411,Porto Alegre
Pedro Souza,pedro.souza.100@email.com,11984542707,Porto Alegre
Camila Souza,camila.souza.101@email.com,11930076551,São Paulo
João Rodrigues,joão.rodrigues.102@email.com,31933789724,Rio de Janeiro
Camila Lima,camila.lima.103@email.com,51996502378,São Paulo
João Oliveira,joão.oliveira.104@email.com,11920025867,Porto Alegre
Ana Lima,ana.lima.105@email.com,41965290760,Rio de Janeiro
Lucas Rodrigues,lucas.rodrigues.106@email.com,21987302322,Rio de Janeiro
Ana Pereira,ana.pereira.107@email.com,11931610429,Curitiba
Maria Nascimento,maria.nascimento.108@email.com,41941734323,Porto Alegre
Carlos Nascimento,carlos.nascimento.109@email.com,51974084463,Belo Horizonte
Camila Silva,camila.silva.110@email.com,21959586174,Belo Horizonte
Rafael Santos,rafael.santos.111@email.com,51957056095,Curitiba
João Lima,joão.lima.112@email.com,31962662059,Rio de Janeiro
Pedro Rodrigues,pedro.rodrigues.113@email.com,51941137636,Curitiba
João Santos,joão.santos.114@email.com,11988986036,Rio de Janeiro
Fernanda Oliveira,fernanda.oliveira.115@email.com,11911887529,Rio de Janeiro
Camila Lima,camila.lima.116@email.com,21974830855,Curitiba
Ana Santos,ana.santos.117@email.com,11922590308,Belo Horizonte
Maria Nascimento,maria.nascimento.118@email.com,41979551621,São Paulo
João Nascimento,joão.nascimento.119@email.com,31943647530,São Paulo
Fernanda Oliveira,fernanda.oliveira.120@email.com,51998549074,Porto Alegre
Ana Rodrigues,ana.rodrigues.121@email.com,51917046915,São Paulo
Lucas Rodrigues,lucas.rodrigues.122@email.com,31969249260,Belo Horizonte
João Silva,joão.silva.123@email.com,21928161122,Curitiba
Carlos Silva,carlos.silva.124@email.com,31936298295,São Paulo
Ana Nascimento,ana.nascimento.125@email.com,21931283681,São Paulo
Maria Lima,maria.lima.126@email.com,41928368647,Belo Horizonte
Julia Silva,julia.silva.127@email.com,31959415579,Porto Alegre
João Almeida,joão.almeida.128@email.com,41953658969,São Paulo
Lucas Silva,lucas.silva.129@email.com,11963835618,Porto Alegre
João Oliveira,joão.oliveira.130@email.com,41932032160,Rio de Janeiro
João Costa,joão.costa.131@email.com,41954332116,São Paulo
Pedro Pereira,pedro.pereira.132@email.com,31978111240,São Paulo
Fernanda Lima,fernanda.lima.133@email.com,31945162746,São Paulo
Ana Costa,ana.costa.134@email.com,31963045915,Curitiba
João Oliveira,joão.oliveira.135@email.com,41949874824,São Paulo
Rafael Nascimento,rafael.nascimento.136@email.com,31995462857,Curitiba
Ana Costa,ana.costa.137@email.com,51994125386,Curitiba
Camila Lima,camila.lima.138@email.com,11947393017,São Paulo
Rafael Lima,rafael.lima.139@email.com,21974319446,Rio de Janeiro
Maria Santos,maria.santos.140@email.com,11963904570,Porto Alegre
Julia Costa,julia.costa.141@email.com,41945305730,Belo Horizonte
João Costa,joão.costa.142@email.com,51982879042,São Paulo
Fernanda Costa,fernanda.costa.143@email.com,51992915854,Rio de Janeiro
Carlos Souza,carlos.souza.144@email.com,51968210908,Rio de Janeiro
Julia Pereira,julia.pereira.145@email.com,31918730629,Belo Horizonte
Rafael Silva,rafael.silva.146@email.com,51926642523,Belo Horizonte
Carlos Nascimento,carlos.nascimento.147@email.com,11937529629,Porto Alegre
Pedro Souza,pedro.souza.148@email.com,11910693794,Porto Alegre
Carlos Lima,carlos.lima.149@email.com,51929485514,Belo Horizonte
Maria Almeida,maria.almeida.150@email.com,11968586408,Rio de Janeiro
Fernanda Almeida,fernanda.almeida.151@email.com,51943666813,São Paulo
Julia Nascimento,julia.nascimento.152@email.com,41974927640,São Paulo
Rafael Nascimento,rafael.nascimento.153@email.com,51992029053,São Paulo
Carlos Silva,carlos.silva.154@email.com,11945028906,São Paulo
Lucas Almeida,lucas.almeida.155@email.com,41999428431,Rio de Janeiro
Julia Santos,julia.santos.156@email.com,51910765782,Curitiba
Lucas Costa,lucas.costa.157@email.com,31939213680,Belo Horizonte
Camila Silva,camila.silva.158@email.com,21917609067,Belo Horizonte
João Lima,joão.lima.159@email.com,21975046105,Curitiba
Maria Costa,maria.costa.160@email.com,51968764747,São Paulo
Camila Silva,camila.silva.161@email.com,51988511925,Curitiba
Maria Souza,maria.souza.162@email.com,51998421933,Curitiba
Julia Rodrigues,julia.rodrigues.163@email.com,31924031247,Rio de Janeiro
Maria Souza,maria.souza.164@email.com,41958340696,São Paulo
Lucas Oliveira,lucas.oliveira.165@email.com,11943826097,Curitiba
Rafael Almeida,rafael.almeida.166@email.com,21989345899,Porto Alegre
Camila Pereira,camila.pereira.167@email.com,31973791975,Rio de Janeiro
Camila Oliveira,camila.oliveira.168@email.com,41940783469,Belo Horizonte
Camila Oliveira,camila.oliveira.169@email.com,21940010407,Rio de Janeiro
Carlos Almeida,carlos.almeida.170@email.com,41911215051,Curitiba
Ana Lima,ana.lima.171@email.com,51974838145,Belo Horizonte
João Souza,joão.souza.172@email.com,11931540303,Porto Alegre
Rafael Silva,rafael.silva.173@email.com,21919179826,São Paulo
Julia Nascimento,julia.nascimento.174@email.com,11991549640,Porto Alegre
Carlos Almeida,carlos.almeida.175@email.com,41974831839,Belo Horizonte
Pedro Costa,pedro.costa.176@email.com,31942491593,Rio de Janeiro
Julia Santos,julia.santos.177@email.com,31976959599,Rio de Janeiro
Pedro Silva,pedro.silva.178@email.com,41939278460,Rio de Janeiro
Ana Santos,ana.santos.179@email.com,41921556882,Curitiba
Rafael Pereira,rafael.pereira.180@email.com,41941095578,Porto Alegre
Carlos Nascimento,carlos.nascimento.181@email.com,51915788255,Rio de Janeiro
João Costa,joão.costa.182@email.com,41915292966,Rio de Janeiro
Julia Pereira,julia.pereira.183@email.com,41926825685,São Paulo
Lucas Souza,lucas.souza.184@email.com,51959854866,Curitiba
Rafael Silva,rafael.silva.185@email.com,41979420758,São Paulo
Camila Silva,camila.silva.186@email.com,11938994672,Belo Horizonte
Lucas Pereira,lucas.pereira.187@email.com,41970933265,Rio de Janeiro
Maria Souza,maria.souza.188@email.com,21964854600,Porto Alegre
Rafael Pereira,rafael.pereira.189@email.com,21926261500,Belo Horizonte
Ana Oliveira,ana.oliveira.190@email.com,21978853980,São Paulo
Rafael Santos,rafael.santos.191@email.com,51986989906,Rio de Janeiro
Rafael Oliveira,rafael.oliveira.192@email.com,51967013736,Belo Horizonte
Carlos Silva,carlos.silva.193@email.com,41914358956,Curitiba
Julia Costa,julia.costa.194@email.com,41972733781,Rio de Janeiro
Fernanda Oliveira,fernanda.oliveira.195@email.com,51916165889,Curitiba
Rafael Silva,rafael.silva.196@email.com,11994942246,Rio de Janeiro
João Silva,joão.silva.197@email.com,11916901960,Curitiba
João Oliveira,joão.oliveira.198@email.com,21926934630,Porto Alegre
Julia Souza,julia.souza.199@email.com,51983870542,Belo Horizonte
