nome,email,telefone,cidade
Carlos Oliveira,carlos.oliveira.1@email.com,21919807394,Manaus
Carlos Rodrigues,carlos.rodrigues.2@email.com,41994944794,Belo Horizonte
Lucas Costa,lucas.costa.3@email.com,71996438401,Recife
Rafael Nascimento,rafael.nascimento.4@email.com,85994970021,Belo Horizonte
Pedro Silva,pedro.silva.5@email.com,71930033380,Recife
Pedro Santos,pedro.santos.6@email.com,41918759576,São Paulo
Julia Costa,julia.costa.7@email.com,11992510305,São Paulo
Carlos Santos,carlos.santos.8@email.com,41982953639,Rio de Janeiro
Pedro Almeida,pedro.almeida.9@email.com,21979835828,Fortaleza
Fernanda Rodrigues,fernanda.rodrigues.10@email.com,11949445928,Fortaleza
Fernanda Rodrigues,fernanda.rodrigues.11@email.com,85973460164,Manaus
Rafael Pereira,rafael.pereira.12@email.com,71992269500,Rio de Janeiro
Ana Nascimento,ana.nascimento.13@email.com,51912059643,Belo Horizonte
Carlos Nascimento,carlos.nascimento.14@email.com,85965240025,Fortaleza
Carlos Costa,carlos.costa.15@email.com,81956498387,Belo Horizonte
Julia Nascimento,julia.nascimento.16@email.com,21932198310,Fortaleza
Rafael Nascimento,rafael.nascimento.17@email.com,71942217643,Brasília
Ana Almeida,ana.almeida.18@email.com,31915233139,Belo Horizonte
Julia Santos,julia.santos.19@email.com,85959746399,Salvador
Lucas Almeida,lucas.almeida.20@email.com,11995299516,Porto Alegre
Lucas Rodrigues,lucas.rodrigues.21@email.com,31957220479,Recife
João Almeida,joão.almeida.22@email.com,61958277424,Salvador
Rafael Nascimento,rafael.nascimento.23@email.com,11937294514,Curitiba
Rafael Costa,rafael.costa.24@email.com,21912954742,Salvador
João Santos,joão.santos.25@email.com,81945617997,Recife
Ana Silva,ana.silva.26@email.com,85949529075,Recife
João Oliveira,joão.oliveira.27@email.com,31976493062,Recife
Fernanda Costa,fernanda.costa.28@email.com,81998852630,Brasília
João Souza,joão.souza.29@email.com,11944443280,Porto Alegre
Fernanda Santos,fernanda.santos.30@email.com,51994329858,Porto Alegre
Pedro Nascimento,pedro.nascimento.31@email.com,81918375868,Belo Horizonte
Camila Pereira,camila.pereira.32@email.com,61920098752,Salvador
Lucas Silva,lucas.silva.33@email.com,71937244979,Porto Alegre
Ana Costa,ana.costa.34@email.com,81976343849,Manaus
Rafael Almeida,rafael.almeida.35@email.com,71943466657,Salvador
Julia Almeida,julia.almeida.36@email.com,11968995017,Brasília
Julia Oliveira,julia.oliveira.37@email.com,41992567569,São Paulo
Lucas Souza,lucas.souza.38@email.com,71970993047,Fortaleza
Carlos Almeida,carlos.almeida.39@email.com,51955499252,Porto Alegre
João Pereira,joão.pereira.40@email.com,31957602687,Porto Alegre
Pedro Pereira,pedro.pereira.41@email.com,81928714688,Fortaleza
João Souza,joão.souza.42@email.com,61998371641,Curitiba
Ana Nascimento,ana.nascimento.43@email.com,21965939085,Fortaleza
Maria Lima,maria.lima.44@email.com,81916702835,Brasília
Maria Nascimento,maria.nascimento.45@email.com,51992049488,São Paulo
Fernanda Nascimento,fernanda.nascimento.46@email.com,85921339911,Porto Alegre
Rafael Oliveira,rafael.oliveira.47@email.com,51967935553,Brasília
Julia Almeida,julia.almeida.48@email.com,92930842041,Porto Alegre
